               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10539,            0.026652,                   0,               0.002,             0.13953,           0.0016822,          0.00026783,            0.073463,            0.018936,                   0,              0.0748,              0.0028,              0.0028
                   1,            0.080953,            0.023191,                   0,            0.028289,             0.25581,              0.0279,           0.0067289,            0.060576,            0.013728,                   0,            0.047571,           0.0045714,           0.0045714
                   2,            0.068779,             0.01994,                   0,            0.082447,             0.30233,            0.075338,            0.028194,            0.052775,             0.01297,                   0,            0.019194,           0.0051944,           0.0051944
                   3,            0.057378,            0.018076,                   0,             0.18369,             0.32558,             0.15497,            0.046523,            0.050514,            0.011918,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.055307,            0.017355,                   0,             0.15249,             0.30233,              0.1315,            0.040142,            0.052017,           0.0090553,                   0,             0.00406,             0.00406,             0.00406
